Date,Car_ID,Company,Model,Driver_Name,Driving_Style,Driving_Mode,Speed_kmph,Distance_km,Battery_Capacity_kWh,Battery_Pct_Used,Harsh_Events,Location,City,Exact_Maintenance_Cost_INR,Est_Full_Range_km,Battery_Remaining_Percent,Fleet_Status,Month,Month_Num,Charging_Cost_INR,Car_Max_Range_km,Car_Weight_kg,Seating_Capacity,Motor_Power_kW,Torque_Nm,Actual_Remaining_Range_km,Total_Odometer_km,Trip_Duration_Minutes,Minutes_Elapsed,Trip_Status,Expected_Fare,Recognized_Revenue
2025-01-01,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,88.5,8.85,54.4,3.25,0,"Malviya Nagar, Jaipur",Jaipur,3256.71,272.31,96.75,Running,Jan,1,11.34,505.6,2022.0,5,161.8,353.9,343.7,8.8,60,45,In Transit,102.97,0.0
2025-01-04,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,100.2,39.1,54.4,15.11,1,"Vaishali Nagar, Jaipur",Jaipur,3256.71,258.77,84.89,Running,Jan,1,32.58,505.6,2022.0,5,161.8,353.9,276.9,48.0,180,90,In Transit,402.64,0.0
2025-01-05,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,76.0,45.62,54.4,15.85,3,"C-Scheme, Jaipur",Jaipur,3256.71,287.82,84.15,Charging,Jan,1,36.13,505.6,2022.0,5,161.8,353.9,243.8,93.6,30,22,In Transit,444.41,0.0
2025-01-08,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,Highway,71.0,41.4,54.4,17.06,1,"Malviya Nagar, Jaipur",Jaipur,3256.71,242.67,82.94,Running,Jan,1,17.93,505.6,2022.0,5,161.8,353.9,247.8,135.0,90,22,In Transit,446.67,0.0
2025-01-10,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,75.2,71.94,54.4,24.9,0,"Malviya Nagar, Jaipur",Jaipur,3256.71,288.92,75.1,Charging,Jan,1,108.1,505.6,2022.0,5,161.8,353.9,277.2,206.9,90,90,Completed,726.44,726.44
2025-01-11,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,77.3,75.31,54.4,26.32,0,"C-Scheme, Jaipur",Jaipur,3256.71,286.13,73.68,Charging,Jan,1,116.58,505.6,2022.0,5,161.8,353.9,299.6,282.2,150,112,In Transit,874.88,0.0
2025-01-11,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,102.3,74.28,54.4,28.95,0,"C-Scheme, Jaipur",Jaipur,3256.71,256.58,71.05,Running,Jan,1,75.69,505.6,2022.0,5,161.8,353.9,245.7,356.5,30,22,In Transit,678.59,0.0
2025-01-12,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,71.3,25.16,54.4,8.55,0,"Malviya Nagar, Jaipur",Jaipur,3256.71,294.27,91.45,Idle,Jan,1,24.41,505.6,2022.0,5,161.8,353.9,354.9,381.7,120,60,In Transit,310.45,0.0
2025-01-12,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,Highway,100.4,106.47,54.4,49.99,4,"Malviya Nagar, Jaipur",Jaipur,3256.71,212.98,50.01,Running,Jan,1,57.6,505.6,2022.0,5,161.8,353.9,131.0,488.1,60,30,In Transit,996.32,0.0
2025-01-16,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,Highway,94.4,89.28,54.4,40.87,0,"C-Scheme, Jaipur",Jaipur,3256.71,218.45,59.13,Running,Jan,1,75.69,505.6,2022.0,5,161.8,353.9,193.8,577.4,120,60,In Transit,937.25,0.0
2025-01-16,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,61.0,6.1,54.4,1.97,0,"Malviya Nagar, Jaipur",Jaipur,3256.71,309.64,98.03,Running,Jan,1,7.11,505.6,2022.0,5,161.8,353.9,378.5,583.5,30,30,Completed,66.84,66.84
2025-01-17,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,70.3,22.27,54.4,7.53,0,"Jagatpura, Jaipur",Jaipur,3256.71,295.75,92.47,Running,Jan,1,42.88,505.6,2022.0,5,161.8,353.9,310.1,605.8,150,150,Completed,281.14,281.14
2025-01-17,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,Highway,100.9,114.17,54.4,53.72,1,"Mansarovar, Jaipur",Jaipur,3256.71,212.53,46.28,Idle,Jan,1,39.29,505.6,2022.0,5,161.8,353.9,135.5,720.0,30,8,In Transit,1410.79,0.0
2025-01-18,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,77.9,108.92,54.4,38.17,0,"Jagatpura, Jaipur",Jaipur,3256.71,285.35,61.83,Running,Jan,1,29.74,505.6,2022.0,5,161.8,353.9,235.1,828.9,150,38,In Transit,1075.02,0.0
2025-01-18,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,92.7,41.18,54.4,15.41,3,"Vaishali Nagar, Jaipur",Jaipur,3256.71,267.23,84.59,Running,Jan,1,27.15,505.6,2022.0,5,161.8,353.9,242.0,870.0,120,60,In Transit,499.8,0.0
2025-01-18,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,65.2,33.33,54.4,11.0,0,"Jagatpura, Jaipur",Jaipur,3256.71,303.0,89.0,Running,Jan,1,35.38,505.6,2022.0,5,161.8,353.9,341.7,903.4,120,90,In Transit,452.76,0.0
2025-01-20,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,108.1,93.15,54.4,37.17,1,"Jagatpura, Jaipur",Jaipur,3256.71,250.61,62.83,Running,Jan,1,65.06,505.6,2022.0,5,161.8,353.9,199.8,996.5,30,15,In Transit,1035.31,0.0
2025-01-20,HYU-01,Hyundai,Ioniq 5,Rohit,Safe,City,98.4,100.22,54.4,38.43,0,"Malviya Nagar, Jaipur",Jaipur,3256.71,260.79,61.57,Idle,Jan,1,50.56,505.6,2022.0,5,161.8,353.9,208.1,1096.8,30,8,In Transit,1056.07,0.0
